ID,Text,UID,Window_ID,Follow_IDs,Button_IDs,OK,Scenario_ID,Scenario_Trigger,HAS TRIGGER,WINDOW ID ERRORS
t4,alrighty dann machen wir erstmal basics,Basti,Basti,t5,,,tutorial,,TRUE,TRUE
t5,"alsooo.. als erstes musst du gucken, ob es ein verstoß überhaupt ist. Da hast du die Guidelines als PDF bekommen",Basti,Basti,"t6,t7",,,tutorial,,TRUE,TRUE
t6,Hab ich offen,Player,Basti,t8,,,tutorial,,TRUE,TRUE
t7,Warte.. hab ich irgendwo auf dem Desktop.. 😵,Player,Basti,t8,,,tutorial,,TRUE,TRUE
t8,"Gut, die brauchst du gleich",Basti,Basti,t9,,,tutorial,,TRUE,TRUE
t9,Was steht denn in dem Post?,Basti,Basti,t10,,,tutorial,,TRUE,TRUE
t10,Irgendwas mit Holocaust..,Player,Basti,t11,,,tutorial,,TRUE,TRUE
t11,"ohhhh, das ist schon mal nich so gut.. was genau?",Basti,Basti,"t12,t13",,,tutorial,,TRUE,TRUE
t12,Dass der Holocaust ein Fake ist…,Player,Basti,t14,,,tutorial,,TRUE,TRUE
t13,Dass Holocaust und die Mondlandung nur ausgedacht sind,Player,Basti,t14,,,tutorial,,TRUE,TRUE
t14,"ok, der is einfach ^^ schau mal in den Guide",Basti,Basti,"t15,t17",,,tutorial,,TRUE,TRUE
t15,"Da steht, es ist verboten, den Holocaust einfach zu leugnen",Player,Basti,t16,,,tutorial,,TRUE,TRUE
t16,yess.. in Deutschland ist das eine STRAFTAT.. darf also nicht stehenbleiben,Basti,Basti,t19,,,tutorial,,TRUE,TRUE
t17,Das ist Holocaustleugnung. In Deutschland ist das eine Straftat,Player,Basti,t18,,,tutorial,,TRUE,TRUE
t18,"genau!! Mega du kennst dich ja voll aus. Hab echt den richtigen hier angeschleppt, haha^^",Basti,Basti,t19,,,tutorial,,TRUE,TRUE
t19,Danke 🙂,Player,Basti,t20,,,tutorial,,TRUE,TRUE
t20,jetzt hast du zwei option… einfach löschen oder den User bannen,Basti,Basti,"t21,t24",,,tutorial,,TRUE,TRUE
t21,Dann würde ich erstmal nur den Post löschen,Player,Basti,t22,,,tutorial,,TRUE,TRUE
t22,"jo, beim ersten verstoß ist das genau richtig. Wenn der mehrfach postet, muss du auch mal bannen",Basti,Basti,t23,,,tutorial,,TRUE,TRUE
t23,"Verstanden, danke!",Player,Basti,t27,,,tutorial,,TRUE,TRUE
t24,"User bannen, oder? Das geht gar nicht.",Player,Basti,t25,,,tutorial,,TRUE,TRUE
t25,"najaaaa.. beim ersten Verstoß musst du nich sooo streng sein. Wenn er mehrfach postet, kannst du bannen",Basti,Basti,t26,,,tutorial,,TRUE,TRUE
t26,"Okay, verstehe.",Player,Basti,t27,,,tutorial,,TRUE,TRUE
t27,gut….. hast du gemacht?,Basti,Basti,,,,tutorial,,TRUE,TRUE
t28,"Oh Mist, hab versehentlich auf ""Kein Verstoß"" geklickt",Player,Basti,t29,,,tutorial,,TRUE,TRUE
t29,"oha, da musst du aufpassen. aber no prob, ich fixe das kurz",Basti,Basti,t30,,,tutorial,,TRUE,TRUE
t30,uuuund gelöscht,Basti,Basti,t31,,,tutorial,,TRUE,TRUE
t31,nächstes mal aber besser aufpassen!,Basti,Basti,t40,,,tutorial,,TRUE,TRUE
t32,Habe den Post gelöscht,Player,Basti,t33,,,tutorial,,TRUE,TRUE
t33,absolut richtig aus meiner sicht! du bist ja schon Profi!? 😁,Basti,Basti,t34,,,tutorial,,TRUE,TRUE
t34,"Haha, danke!",Player,Basti,t40,,,tutorial,,TRUE,TRUE
t35,Hab den direkt gebannt.,Player,Basti,t36,,,tutorial,,TRUE,TRUE
t36,"uuuuuh.. is jetzt nicht optimal, aber passt schon 😅😅",Basti,Basti,t37,,,tutorial,,TRUE,TRUE
t37,"Ich fand's schlimm und wollte nicht, dass der noch mehr davon schreibt.",Player,Basti,t38,,,tutorial,,TRUE,TRUE
t38,jojo… versteh ich! Kann man schon machen 😅,Basti,Basti,t39,,,tutorial,,TRUE,TRUE
t39,Gut 🙂,Player,Basti,t40,,,tutorial,,TRUE,TRUE
t40,daaaann.. würde sagen du bist good to go!,Basti,Basti,t41,,,tutorial,,TRUE,TRUE
t41,ich geh zurück ins game,Basti,Basti,t42,,,tutorial,,TRUE,TRUE
t42,noch bissi MMR grinden,Basti,Basti,"t43,t44",,,tutorial,,TRUE,TRUE
t43,"Okay, have fun!",Player,Basti,t45,,,tutorial,,TRUE,TRUE
t44,"Warteee! Was ist, wenn ich Hilfe brauche?",Player,Basti,t45,,,tutorial,,TRUE,TRUE
t45,"wenn du noch fragen hast, schreib mir einfach ^^ bin ja hier",Basti,Basti,"t46,t47",,,tutorial,,TRUE,TRUE
t46,Super! Danke dir!,Player,Basti,d1,,,tutorial,end,TRUE,TRUE
t47,Ich melde mich!,Player,Basti,"d1,m1a,m1b,m1c",,,,,TRUE,TRUE
m1a,"Mein Bruder hat schon wieder meinen PS5-Controller mitgenommen. Wenn er nachhause kommt, bring ich ihn 100 pro um!",Checker24,Mod,,,0,,,TRUE,TRUE
m1b,"SIEG HEIL! (is nur Spaß, chillt mal)",Bruno88,Mod,,,1,,,TRUE,TRUE
m1c,Deutschland den Deutschen! ⚡⚡,Befreiungsschlag,Mod,,,1,,,TRUE,TRUE
d1,"Heeeey, wie läuft der neue Job? Hast du schon angefangen?",Doro,Doro,"d2,d3,d4",,,doro,start,TRUE,TRUE
d2,Hey!,Player,Doro,d5,,,doro,,TRUE,TRUE
d3,Huhu Doro!,Player,Doro,d5,,,doro,,TRUE,TRUE
d4,Na du Nachteule!,Player,Doro,d5,,,doro,,TRUE,TRUE
d5,"Ja, erste Nacht heute! Aber war noch nicht viel los",Player,Doro,"d6,m2",,,doro,,TRUE,TRUE
m2,"tausche arbeitsscheuen, inkompetenten Sesselfurzer gegen Affen. Wette der schmeißt mit weniger Scheiße um sich als mein Chef",Kai-Uwe69,Mod,,,,doro,,TRUE,TRUE
d6,"Trotzdem krass, finde ich.",Doro,Doro,d7,,,doro,,TRUE,TRUE
d7,Könnte das nicht. Da liest man doch bestimmt richtig viel scheiß?,Doro,Doro,"d8,m3",,,doro,,TRUE,TRUE
d8,"sry, kommt grad was rein. Moment!",Player,Doro,d9,,,doro,,TRUE,TRUE
m3,"Wenn ihr noch alte Dildos etc habt, einfach bei @LaserLilly abgeben, die kann sowas gebrauchen. Am Hain 3, klingeln bei Lander",Andrew Business,Mod,,,0,doro,,TRUE,TRUE
d9,"Alles gut, will eh auf ne Party. Viel Spaß dir!",Doro,Doro,d10,,,doro,,TRUE,TRUE
d10,Oder eher viel Kraft?,Doro,Doro,d11,,,doro,,TRUE,TRUE
d11,Erzähl nachher gerne mehr!!,Doro,Doro,d12,,,doro,,TRUE,TRUE
d12,"woooooah, was für ein bastard",Basti,Basti,"d13,d14",,,doro,,TRUE,TRUE
d13,???,Player,Basti,d15,,,doro,,TRUE,TRUE
d14,Was ist los?,Player,Basti,d15,,,doro,,TRUE,TRUE
d15,"ich komm um die ecke, der verpasst mir nen header",Basti,Basti,d16,,,doro,,TRUE,TRUE
d16,never mind.. wie läufts bei dir?,Basti,Basti,"d17,d18",,,doro,,TRUE,TRUE
d17,Da hat jemand eine Adresse einer anderen Person öffentlich gepostet,Player,Basti,d19,,,doro,,TRUE,TRUE
d18,Hier kam grad ein Doxxing-Fall rein,Player,Basti,d19,,,doro,,TRUE,TRUE
d19,müssen wir löschen.. is klar,Basti,Basti,d20,,,doro,,TRUE,TRUE
d20,"ok, neue Runde... wish me luck",Basti,Basti,mk,,,doro,end,TRUE,TRUE
mk,"XX = Frau
XY = Mann
Easy! 🥝",Kiwi Queen,Mod,k1,,,kiwi,start,TRUE,TRUE
k1,"Hey, kurze Frage",Player,Basti,k2,,,kiwi,,TRUE,TRUE
k2,Hier ist so ein Post mit Chromosomen,Player,Basti,k3,,,kiwi,,TRUE,TRUE
k3,und Kiwis?,Player,Basti,k4,,,kiwi,,TRUE,TRUE
k4,"Hast du eine Ahnung, warum das gemeldet wurde?",Player,Basti,k5,,,kiwi,,TRUE,TRUE
k5,Basti? Bist du da?,Player,Basti,k6,,,kiwi,,TRUE,TRUE
k6,Was bring ich zur WG-Party mit? Wein oder Bier?,Doro,Doro,"k7,k8,k9",,,kiwi,,TRUE,TRUE
k7,Wein,Player,Doro,k9,,,kiwi,,TRUE,TRUE
k8,Bier,Player,Doro,k9,,,kiwi,,TRUE,TRUE
k9,Doro.. du warst in der Schule doch gut in Bio…,Player,Doro,k10,,,kiwi,,TRUE,TRUE
k10,"Joa, ging. Wieso?",Doro,Doro,k11,,,kiwi,,TRUE,TRUE
k11,Also hier hat eine Userin so einen Post über Chromosomen gemacht,Player,Doro,k12,,,kiwi,,TRUE,TRUE
k12,Und was willst du wissen?,Doro,Doro,k13,,,kiwi,,TRUE,TRUE
k13,"Ich verstehe nicht, warum der gemeldet wurde",Player,Doro,k14,,,kiwi,,TRUE,TRUE
k14,Hmm. Alsooo! Jeder Mensch hat 46 Chromosomen. Die bestehen aus DNA.. und da drin stecken wiederum alle unsere Gene (so ungefähr),Doro,Doro,k15,,,kiwi,,TRUE,TRUE
k15,"Die Chromosomen bilden Paare. Und das letzte Paar in der Reihe ist entweder ein XX-Paar oder ein XY-Paar. Nennt man so, weil die unterm Mikroskop so aussehen 😁",Doro,Doro,k16,,,kiwi,,TRUE,TRUE
k16,"So ein XX-Paar ist der Bauplan für eine ""biologische"" Frau",Doro,Doro,k17,,,kiwi,,TRUE,TRUE
k17,"Ein XY-Paar würden hingegen eine Entwicklung zu einem ""biologischen"" Mann anstoßen",Doro,Doro,k18,,,kiwi,,TRUE,TRUE
k18,Das verstehe ich. Aber wieso schreibst du biologisch? Und in Anführungszeichen?,Player,Doro,k19,,,kiwi,,TRUE,TRUE
k19,Da müsste ich etwas ausholen... Wie viel Zeit hast? 😂,Doro,Doro,"k20,k21",,,kiwi,,TRUE,TRUE
k20,Was wär so die Kurzfassung?,Player,Doro,k22,,,kiwi,,TRUE,TRUE
k21,Eigentlich die ganze Nacht…,Player,Doro,k22,,,kiwi,,TRUE,TRUE
k22,"Das schreibe ich so, weil Geschlecht im Endeffekt nicht nur von Chromosomen oder unserer Biologie bestimmt wird",Doro,Doro,k23,,,kiwi,,TRUE,TRUE
k23,"Manchmal kann es passieren, dass unser DNA-Bauplan nicht richtig befolgt wird.. und dann entwickelt sich ein mensch doch anders als drin steht.. sozusagen ",Doro,Doro,k24,,,kiwi,,TRUE,TRUE
k24,"Du meinst, da steht zum Beispiel XY drin, aber jemand wird trotzdem eine Frau?",Player,Doro,k25,,,kiwi,,TRUE,TRUE
k25,Genau! Sozusagen.,Doro,Doro,"k26,mk1",,,kiwi,,TRUE,TRUE
mk1,"Hoffentlich sterben alle Länder aus, die Kriege anfangen. Sie haben es verdient.",PeaceLover,Mod,,,1,kiwi,,TRUE,TRUE
k26,"Es ist ja auch so: wenn du geboren wirst, macht man normalerweise keinen Gentest, um dein Geschlecht zu bestimmen.",Doro,Doro,k27,,,kiwi,,TRUE,TRUE
k27,Wie machen die das dann?,Player,Doro,k28,,,kiwi,,TRUE,TRUE
k28,Was glaubst du? 😁,Doro,Doro,"k29,k30",,,kiwi,,TRUE,TRUE
k29,Was weiß ich! Ich bin ja kein Arzt!,Player,Doro,k31,,,kiwi,,TRUE,TRUE
k30,Irgendwas mit Blut abnehmen?,Player,Doro,k31,,,kiwi,,TRUE,TRUE
k31,Einfacher als du denkst,Doro,Doro,k32,,,kiwi,,TRUE,TRUE
k32,Der Arzt ODER DIE ÄRZTIN(!) schaut einfach mal zwischen den Beinen nach 😅,Doro,Doro,k33,,,kiwi,,TRUE,TRUE
k33,"Okay, darauf hätte ich kommen können..",Player,Doro,k34,,,kiwi,,TRUE,TRUE
k34,Hättest du,Doro,Doro,k35,,,kiwi,,TRUE,TRUE
k35,Das ist aber nicht alles. Geschlecht ist nicht nur Biologie. Es gibt zum Beispiel auch ein soziales Geschlecht,Doro,Doro,k36,,,kiwi,,TRUE,TRUE
k36,Sozial?,Player,Doro,k37,,,kiwi,,TRUE,TRUE
k37,"Denk mal so: Wenn du draußen jemanden siehst, wie woher weißt du dann, ob es ein Mann oder eine Frau ist?",Doro,Doro,k38,,,kiwi,,TRUE,TRUE
k38,Du schaust den Leuten ja nicht zwischen die Beine wie man das bei Babys macht,Doro,Doro,k39,,,kiwi,,TRUE,TRUE
k39,HOFFE ICH MAL,Doro,Doro,"k40,k41",,,kiwi,,TRUE,TRUE
k40,Was denkst du von mir?,Player,Doro,k42,,,kiwi,,TRUE,TRUE
k41,Natürlich nicht!,Player,Doro,k42,,,kiwi,,TRUE,TRUE
k42,Aber hast schon irgendwie Recht mit der Frage.. woran erkenn ich das? hmmmm,Player,Doro,"k43a,k43b,mk2",,,kiwi,,TRUE,TRUE
mk2,"Bin grad mit dem Dingden am Hamminkeln, wenn ihr versteht was ich meine!",GameJammer2024,Mod,,,1,kiwi,,TRUE,TRUE
k43a,Ich seh das einfach..? Ohne drüber nachzudenken,Player,Doro,k44a,,,kiwi,,TRUE,TRUE
k44a,"Ja! Du bekommst unbewusst mit, wie Leute sich verhalten, anziehen, reden... (und nicht was die in ihrer Hose haben)",Doro,Doro,"k45a,k45b",,,kiwi,,TRUE,TRUE
k43b,"Haare, Kleidung und wie sich die Leute verhalten?",Player,Doro,k44b,,,kiwi,,TRUE,TRUE
k44b,"Genau! :D Und das ist eben was ""sozial"" meint. Nicht in den Genen oder in der Hose. Sondern wie man sich gibt",Doro,Doro,"k45a,k45b",,,kiwi,,TRUE,TRUE
k45a,"Heißt das, wer trans ist, der gibt sich nur anders? Sozial?",Player,Doro,k46,,,kiwi,,TRUE,TRUE
k45b,"Moment! Kommt es nicht auch darauf an, wie man sich innerlich fühlt? Als Mann oder Frau?",Player,Doro,k61,,,kiwi,,TRUE,TRUE
k46,NEIN,Doro,Doro,k47,,,kiwi,,TRUE,TRUE
k47,"Da geht's mehr um deine innere Überzeugung, welchem Geschlecht du angehörst.",Doro,Doro,k48,,,kiwi,,TRUE,TRUE
k48,Du fühlst es einfach.. tief in dir drinnen,Doro,Doro,k49,,,kiwi,,TRUE,TRUE
k49,Oder?,Doro,Doro,"k50a,k50b",,,kiwi,,TRUE,TRUE
k50a,"Stimmt. Bei mir selbst fühle ich das auch, wenn ich in mich gehe",Player,Doro,k51,,,kiwi,,TRUE,TRUE
k50b,Schon.. aber bei mir selber kann ich ja in der Hose nachgucken 😅,Player,Doro,k56,,,kiwi,,TRUE,TRUE
k51,"Das nennt man dann ""Geschlechtsidentität"". Das kam aber nicht mehr in Bio dran, das hab ich online gelesen",Doro,Doro,k52,,,kiwi,,TRUE,TRUE
k52,"Einige Menschen haben ein inneres Gefühl, das nicht zu dem passt, was der Arzt (oder die Ärztin) am Anfang mal aufgeschrieben hat",Doro,Doro,k53,,,kiwi,,TRUE,TRUE
k53,"Und das ist dann, was trans meint?",Player,Doro,k54,,,kiwi,,TRUE,TRUE
k54,"Mit welchen Begriffen Menschen sich identifizieren, ist unterschiedlich. Aber ich würd sagen ja.",Doro,Doro,k55,,,kiwi,,TRUE,TRUE
k55,"Ergibt Sinn. Danke, Doro 🙂",Player,Doro,k63,,,kiwi,,TRUE,TRUE
k56,"Okay...  😅 aber das sagst du vermutlich, weil das mit deiner Vorstellung von dir selbst übereinstimmt, oder?",Doro,Doro,"k57a,k57b",,,kiwi,,TRUE,TRUE
k57a,Äh..,Player,Doro,k58,,,kiwi,,TRUE,TRUE
k57b,Ja..,Player,Doro,k60,,,kiwi,,TRUE,TRUE
k58,"Alles gut, musst nix sagen 😅",Doro,Doro,k59,,,kiwi,,TRUE,TRUE
k59,Jedenfalls..,Doro,Doro,k60,,,kiwi,,TRUE,TRUE
k60,"Wenn das Gefühl zu allem anderen passt, fällt es einem kaum auf. ABER...",Doro,Doro,k52,,,kiwi,,TRUE,TRUE
k61,Oder WEDER als Mann NOCH als Frau!!,Doro,Doro,k62,,,kiwi,,TRUE,TRUE
k62,Anonsten: ja.,Doro,Doro,k51,,,kiwi,,TRUE,TRUE
k63,"Sorry, jetzt sind wir voll abgeschweift. Was wolltest du nochmal?",Doro,Doro,k64,,,kiwi,,TRUE,TRUE
k64,"Wollte wissen, warum so ein Post gemeldet wurde. Da sind auch noch Kiwis? Bin irgendwie lost",Player,Doro,k65,,,kiwi,,TRUE,TRUE
k65,"Aaaaah, JETZT verstehe ich.",Doro,Doro,k66,,,kiwi,,TRUE,TRUE
k66,Sag das doch gleich!,Doro,Doro,"k67a,k67b",,,kiwi,,TRUE,TRUE
k67a,"Moment, das ergibt Sinn für dich?",Player,Doro,k68,,,kiwi,,TRUE,TRUE
k67b,Bitte sag mir was los ist!,Player,Doro,k68,,,kiwi,,TRUE,TRUE
k68,Kiwis sind so ein geheimes Erkennungsmerkmal für bestimmte Leute,Doro,Doro,"k69a,k69b",,,kiwi,,TRUE,TRUE
k69a,Erkennungsmerkmal wofür?,Player,Doro,k70,,,kiwi,,TRUE,TRUE
k69b,Was denn für Leute?,Player,Doro,k70,,,kiwi,,TRUE,TRUE
k70,"Das wird von Leuten genutzt, die gegen trans Menschen hetzen.",Doro,Doro,k71,,,kiwi,,TRUE,TRUE
k71,"Daran erkennen sie sich gegenseitig, ohne dass es direkt schreiben müssen",Doro,Doro,k72,,,kiwi,,TRUE,TRUE
k72,Und warum eine Kiwi?,Player,Doro,k73,,,kiwi,,TRUE,TRUE
k73,"Haha, aufpassen in Bio zahlt sich jetzt doppelt aus  😂 ",Doro,Doro,k74,,,kiwi,,TRUE,TRUE
k74,Kiwi-Pflanzen lassen sich nämlich sehr genau in zwei Geschlechter aufteilen,Doro,Doro,k75,,,kiwi,,TRUE,TRUE
k75,Und diese Leute sagen: Das gilt eben auch für Menschen,Doro,Doro,"k76a,k76b",,,kiwi,,TRUE,TRUE
k76a,Sprechen sie trans Menschen damit nicht ihre Existenz ab?,Player,Doro,k77,,,kiwi,,TRUE,TRUE
k76b,"Heißt, die meinen, dass es trans Menschen gar nicht geben kann?",Player,Doro,k77,,,kiwi,,TRUE,TRUE
k77,genau das!,Doro,Doro,"k78a,k78b",,,kiwi,,TRUE,TRUE
k78a,Ist das dann nicht auch eine Form von Hatespeech?,Player,Doro,k79,,,kiwi,,TRUE,TRUE
k78b,Klingt schon irgendwie gemein,Player,Doro,k79,,,kiwi,,TRUE,TRUE
k79,VOLL! Auf jeden Fall!,Doro,Doro,k80,,,kiwi,,TRUE,TRUE
k80,oooh shot,Doro,Doro,k81,,,kiwi,,TRUE,TRUE
k81,*shit,Doro,Doro,k82,,,kiwi,,TRUE,TRUE
k82,"muss los zur party! hoffe, ich konnt dir helfen!",Doro,Doro,k83,,,kiwi,,TRUE,TRUE
k83,"Ja, du hast mega geholfen! Vielen Dank! Have fun auf der Party",Player,Doro,"k84,mk3",,,kiwi,,TRUE,TRUE
mk3,Bald gibt's hier mehr Flüchtlinge als Deutsche. #MakeThemWork oder raus mit denen!!,Heimlandler,Mod,,,0,kiwi,,TRUE,TRUE
k84,Danke :),Doro,Doro,B1,,,kiwi,end,TRUE,TRUE
B1,jo läuft alles??,Basti,Basti,B2,,,gamergate,start,TRUE,TRUE
B2,hab ein gutes gefühl bei dir,Basti,Basti,"B3,B4",,,gamergate,,TRUE,TRUE
B3,Finde mich so langsam zurecht,Player,Basti,B5,,,gamergate,,TRUE,TRUE
B4,schon krass was manche leute so schreiben,Player,Basti,B5,,,gamergate,,TRUE,TRUE
B5,lol,Basti,Basti,B6,,,gamergate,,TRUE,TRUE
B6,naja,Basti,Basti,B7,,,gamergate,,TRUE,TRUE
B7,is ja gut dass wir aufpassen 🦸‍♂️,Basti,Basti,"B8,B9",,,gamergate,,TRUE,TRUE
B8,"Haha, fühlt sich schon echt gut an",Player,Basti,B10a,,,gamergate,,TRUE,TRUE
B9,jaaa wir sind BATMAN,Player,Basti,B10,,,gamergate,,TRUE,TRUE
B10a,yess,Basti,Basti,"M2a,M4",,,,,TRUE,TRUE
B10,nana nana nana nana 🦇👨,Basti,Basti,"M2a,M4",,,gamergate,,TRUE,TRUE
M2a,ehrliche arbeit zahlt sich aus❓ am Arsch❗️❗️ wer heute noch eine Wohnung kriegen will muss kriminell werden ansonsten gibts nur 🖕 #dermarktregelt ,kommunist56,Mod,,,1,gamergate,,TRUE,TRUE
M4,#solidwork von #gamergate wir wissen wo du wohnst @anitasarkeesian 💣 ihr könnt euch nicht vor eurer gerechten Bestrafung verstecken #beatupsarkeesian,germanpepe_sus,Mod,B11,,0,gamergate,,TRUE,TRUE
B11,oha,Basti,Basti,B12,,,gamergate,,TRUE,TRUE
B12,wusst nicht dass gamergate noch aktiv sind,Basti,Basti,"B13,B14",,,gamergate,,TRUE,TRUE
B13,verstehe den post nicht,Player,Basti,B15,,,gamergate,,TRUE,TRUE
B14,was soll gamergate sein??,Player,Basti,B15,,,gamergate,,TRUE,TRUE
B15,gamergate ist ein hashtag der 2014 um die welt ging,Basti,Basti,B16,,,gamergate,,TRUE,TRUE
B16,ist im grunde eine hasskampagne gegen Frauen 🤡,Basti,Basti,B17,,,gamergate,,TRUE,TRUE
B17,und alle die nicht dem nerdy gamertyp entsprechen,Basti,Basti,B18,,,gamergate,,TRUE,TRUE
B18,"Oh, warum?",Player,Basti,B19,,,gamergate,,TRUE,TRUE
B19,gamergater verstehn sich halt als underdogs,Basti,Basti,"B20,M2aa",,,gamergate,,TRUE,TRUE
M2aa,#safethechildren Unsere Kinder werden von US-Influenzern manipuliert ❗️❗️ TIKTOK VERBOT JETZT ❗️❗️,ProudMami_2004,Mod,,,1,,,TRUE,TRUE
B20,verteidigen sich gegen den mainstream ,Basti,Basti,"B21,B22",,,gamergate,,TRUE,TRUE
B21,und wer ist anita sarkeesian?,Player,Basti,B23,,,gamergate,,TRUE,TRUE
B22,was bedeutet @anitasarkeesian,Player,Basti,B23,,,gamergate,,TRUE,TRUE
B23,ist ein hauptfeind von gamergate,Basti,Basti,B24,,,gamergate,,TRUE,TRUE
B24,sie hat auf YouTube feministische Perspektiven zu Videospielen vorgestellt,Basti,Basti,B25,,,gamergate,,TRUE,TRUE
B25,Gamergate hat persönliche Daten von ihr veröffentlicht also Adresse und so,Basti,Basti,B26,,,gamergate,,TRUE,TRUE
B26,da wurde es halt schon gefährlich,Basti,Basti,B27,,,gamergate,,TRUE,TRUE
B27,"Okay, thx",Player,Basti,M2b,,,gamergate,end,TRUE,TRUE
M2b,wIR lEbn iN eINe sNOwFlAKes gEsELlscaHFt ❄️❄️❄️ mEINung JA Abr Nru gRAmaTICh KOReKt !! 🤬,MANUP_2425,Mod,C1,,1,clowngesellschaft,start,TRUE,TRUE
C1,"yesss, grad ein paar noobs richtig abgezogen",Basti,Basti,C2,,,clowngesellschaft,,TRUE,TRUE
C2,Müssen uns mal treffen! Schulde dir einen Drink,Player,Basti,C3,,,clowngesellschaft,,TRUE,TRUE
C3,meinst wegen dem job?,Basti,Basti,C4,,,clowngesellschaft,,TRUE,TRUE
C4,alles gut,Basti,Basti,"C5,C6",,,clowngesellschaft,,TRUE,TRUE
C5,"Nicht nur, geht auch um ein echtes Kennenlernen",Player,Basti,C7,,,clowngesellschaft,,TRUE,TRUE
C6,Gibt ja noch eine welt außerhalb von CS,Player,Basti,C7,,,clowngesellschaft,,TRUE,TRUE
C7,schaun wir mal,Basti,Basti,M5,,,clowngesellschaft,,TRUE,TRUE
M5,WTF es gibt immer noch Leute die an COVID glauben ❗️❓ was eine 🤡gesellschaft wo ist diese corona jetz?? die @regierung hat uns einfach alle verarscht 👺 #sadbuttrue,UffWache,Mod,C8a,,,clowngesellschaft,,TRUE,TRUE
C8a,vielleicht ^^,Basti,Basti,C8,,,,,TRUE,TRUE
C8,Der letzte Post war etwas zur Pandemie,Player,Basti,C9,,,clowngesellschaft,,TRUE,TRUE
C9,ja un?,Basti,Basti,C10,,,clowngesellschaft,,TRUE,TRUE
C10,Für dich war Pandemie wie immer? Einfach CS zocken?,Player,Basti,C11,,,clowngesellschaft,,TRUE,TRUE
C11,LOL,Basti,Basti,C12,,,clowngesellschaft,,TRUE,TRUE
